OPE ID,School,Total Allocation ($),Minimum Allocation to be Awarded for Emergency Financial Aid Grants to Students ($),Address,Type,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate
4153900,Providence Christian College,"195,829.00","97,915.00","464 E Walnut St, Pasadena, California 91101","4-year, Private not-for-profit",151.0,151.0,41%,
4114500,Valley College Of Medical Careers,"189,724.00","94,862.00","8399 Topanga Canyon Blvd Ste 200, West Hills, California 91304","2-year, Private for-profit",94.0,94.0,82%,
3853300,Keck Graduate Institute Of Applied Life Sciences,"189,117.00","94,559.00","535 Watson Dr, Claremont, California 91711","4-year, Private not-for-profit",580.0,,,
2211000,Salon Success Academy,"189,064.00","94,532.00","6780 Indiana Ave. Ste #200, Riverside, California 92506","< 2-year, Private for-profit",92.0,92.0,52%,
4145600,International College Of Cosmetology,"188,961.00","94,481.00","3701 International Boulevard, Oakland, California 94601-3525","< 2-year, Private for-profit",223.0,223.0,66%,
2304300,Platt College - San Diego,"187,377.00","93,689.00","6250 El Cajon Blvd, San Diego, California 92115-3919","4-year, primarily associate's, Private for-profit",115.0,115.0,73%,
1294200,Rosemead Beauty School,"187,022.00","93,511.00","8531 E Valley Blvd, Rosemead, California 91770-1639","< 2-year, Private for-profit",344.0,344.0,92%,
4208400,Riverside County Office Of Education,"186,455.00","93,228.00","2100 E. Alessandro Blvd., Riverside, California 92508","< 2-year, Public",291.0,291.0,81%,
4270000,Urban Barber College,"185,408.00","92,704.00","1809 Willow Pass Rd, Concord, California 94520-2522","< 2-year, Private for-profit",150.0,150.0,,
4141700,Healing Hands School Of Holistic Health,"183,798.00","91,899.00","125 W Mission Ave Ste 212, Escondido, California 92025","< 2-year, Private for-profit",337.0,337.0,72%,
2231900,Gemological Institute Of America,"176,142.00","88,071.00","5345 Armada Dr, Carlsbad, California 92008","< 2-year, Private not-for-profit",167.0,167.0,93%,
616500,Los Angeles County College Of Nursing And Allied Health,"174,062.00","87,031.00","1237 N. Mission Rd., Los Angeles, California 90033-1084","2-year, Public",199.0,199.0,,
3874300,Cambridge Junior College,"172,968.00","86,484.00","939 Live Oak Blvd, Yuba City, California 95991","< 2-year, Private for-profit",112.0,112.0,68%,
2228500,Life Chiropractic College West,"171,227.00","85,614.00","25001 Industrial Blvd, Hayward, California 94545-2800","4-year, Private not-for-profit",600.0,,,
4190800,Santa Ana Beauty College,"171,120.00","85,560.00","1926 West 17th Street, Santa Ana, California 92706-2321","< 2-year, Private for-profit",101.0,101.0,93%,
3910400,National Polytechnic College,"168,452.00","84,226.00","4105 South Street, Lakewood, California 90712","2-year, Private for-profit",192.0,192.0,51%,
4001300,Palace Beauty College,"167,681.00","83,841.00","1517 S Western Ave, Los Angeles, California 90006","< 2-year, Private for-profit",239.0,239.0,90%,
2282300,Alhambra Beauty College,"166,902.00","83,451.00","200 W Main St, Alhambra, California 91801","< 2-year, Private for-profit",129.0,129.0,76%,
3974500,California Career College,"166,258.00","83,129.00","7003 Owensmouth Avenue, Canoga Park, California 91303-2006","2-year, Private for-profit",117.0,117.0,,
1324000,Lytle'S Redwood Empire Beauty College,"166,160.00","83,080.00","186 Wikiup Dr, Santa Rosa, California 95403","< 2-year, Private for-profit",115.0,115.0,76%,
2309500,Clovis Adult Education,"166,012.00","83,006.00","1452 David E Cook Way, Clovis, California 93611","< 2-year, Public",671.0,671.0,69%,
4185600,Medical Allied Career Center,"163,365.00","81,683.00","12631 East Imperial Highway Bldg D-108, Santa Fe Springs, California 90670-4710","4-year, primarily associate's, Private for-profit",70.0,70.0,85%,
